山西电信组播,#genre#
上海卫视,http://113.25.105.156:10000/rtp/239.1.1.31:8031
盐湖频道,http://123.174.106.11:8888/rtp/239.1.1.125:8125
盐湖频道,http://113.25.105.156:10000/rtp/239.1.1.125:8125
运城2台,http://123.174.106.11:8888/rtp/239.1.1.124:8124
山西联通组播,#genre#
CCTV-1综合,http://171.116.216.113:10010/rtp/226.0.1.157:3086
CCTV-1综合,http://118.79.12.65:6001/rtp/226.0.2.153:9136
CCTV-1综合,http://118.79.12.65:6001/rtp/226.0.1.157:3086
CCTV-1综合,http://171.118.222.23:8082/rtp/226.0.1.157:3086
CCTV-1综合,http://118.79.12.70:6001/rtp/226.0.1.157:3086
CCTV-1综合,http://118.79.12.65:6000/rtp/226.0.1.157:3086
CCTV-1综合,http://60.223.72.127:8001/rtp/226.0.1.157:3086
CCTV-1综合,http://183.185.71.109:8082/rtp/226.0.1.157:3086
CCTV-1综合,http://118.79.12.62:6000/rtp/226.0.2.153:9136
CCTV-1综合,http://118.79.12.62:6001/rtp/226.0.2.153:9136
CCTV-1综合,http://118.79.12.65:6000/rtp/226.0.2.153:9136
CCTV-1综合,http://116.179.149.157:6001/rtp/226.0.2.153:9136
CCTV-1综合,http://118.79.12.62:6001/rtp/226.0.1.157:3086
CCTV-1综合,http://118.79.12.62:6000/rtp/226.0.1.157:3086
CCTV-1综合,http://118.79.12.62:6001/rtp/226.0.2.16:8040
CCTV-1综合,http://60.223.72.135:8003/rtp/226.0.1.157:3086
CCTV-1综合,http://61.134.253.35:8001/rtp/226.0.1.157:3086
CCTV-1综合,http://118.79.12.70:6000/rtp/226.0.1.157:3086
CCTV-1综合,http://61.134.253.35:8003/rtp/226.0.1.157:3086
CCTV-1综合,http://118.79.12.65:6001/rtp/226.0.2.16:8040
CCTV-1综合,http://118.79.12.70:6001/rtp/226.0.2.153:9136
CCTV-1综合,http://60.223.72.25:8003/rtp/226.0.1.157:3086
CCTV-1综合,http://118.79.12.70:6000/rtp/226.0.2.153:9136
CCTV-1综合,http://118.79.12.62:6000/rtp/226.0.2.16:8040
CCTV-2财经,http://116.179.149.157:6000/rtp/226.0.1.158:3087
CCTV-2财经,http://116.179.149.157:6001/rtp/226.0.2.154:9144
CCTV-2财经,http://60.223.72.135:8003/rtp/226.0.1.158:3087
